Device: Postscript
Disposition: To Device
FileorDev: otis
Titletext: Uvas Creek, S619 Cl
XUnitText: time [hour]
YUnitText: Concentration [mg/l]
Ticks: On
Markers: On
Geometry: 1000x575

7.916667 3.640000
10.000000 3.830000
10.166667 3.680000
10.333333 3.650000
10.500000 3.680000
10.666667 3.680000
10.833333 3.620000
11.000000 3.650000
11.166667 3.670000
11.333333 3.680000
11.500000 3.670000
11.666667 3.680000
11.833333 3.630000
12.000000 3.680000
12.166667 3.650000
12.333333 3.720000
12.500000 3.720000
12.666667 3.860000
12.833333 3.960000
13.000000 4.060000
13.166667 4.380000
13.333333 4.750000
13.500000 5.210000
13.666667 5.650000
13.833333 6.010000
14.000000 6.340000
14.166667 6.650000
14.333333 6.910000
14.500000 7.090000
14.666667 7.260000
14.833333 7.370000
15.000000 7.520000
15.166667 7.640000
15.333333 7.700000
15.550000 7.730000
15.666667 7.760000
15.833333 7.670000
16.000000 7.460000
16.166667 7.210000
16.333333 6.820000
16.500000 6.410000
16.750000 5.610000
17.000000 5.450000
17.250000 5.010000
17.500000 4.810000
17.750000 4.560000
18.000000 4.470000
18.250000 4.260000
18.500000 4.200000
18.750000 4.120000
19.500000 4.020000
20.250000 3.960000
21.000000 3.920000
21.750000 3.860000
22.500000 3.840000
23.250000 3.880000
24.000000 3.820000
24.750000 3.900000
25.500000 4.130000
26.250000 4.070000
27.000000 4.150000
27.750000 4.110000
28.500000 4.190000
29.250000 4.230000
30.000000 4.210000
30.750000 4.210000
31.500000 4.240000
32.250000 4.350000
33.000000 4.330000
33.750000 4.330000
34.500000 4.380000
35.250000 4.320000
36.000000 4.350000
36.750000 4.320000
37.500000 4.230000
38.250000 4.190000
39.000000 4.190000
