Device: Postscript
Disposition: To Device
FileorDev: otis
Titletext: Uvas Creek, S433 Cl
XUnitText: time [hour]
YUnitText: Concentration [mg/l]
Ticks: On
Markers: On
Geometry: 1000x575

7.833333 3.650000
9.000000 3.640000
9.500000 3.680000
9.666667 3.710000
9.833333 3.700000
10.000000 3.680000
10.166667 3.720000
10.200000 3.670000
10.333333 3.680000
10.500000 3.640000
10.666667 3.680000
10.833333 3.690000
11.000000 3.710000
11.166667 3.840000
11.333333 4.150000
11.500000 4.750000
11.666667 5.580000
11.833333 6.370000
12.000000 6.950000
12.166667 7.600000
12.333333 8.010000
12.500000 8.330000
12.666667 8.600000
12.833333 8.810000
13.000000 8.950000
13.166667 9.370000
13.333333 9.030000
13.500000 9.170000
13.666667 9.310000
13.833333 9.310000
14.000000 9.340000
14.166667 9.190000
14.333333 8.800000
14.500000 8.200000
14.666667 7.550000
14.833333 6.780000
15.000000 6.100000
15.166667 5.620000
15.333333 5.280000
15.500000 4.850000
15.666667 4.620000
15.833333 4.420000
16.000000 4.340000
16.166667 4.260000
16.333333 4.190000
16.500000 4.110000
16.666667 4.030000
16.833333 4.030000
17.000000 4.010000
17.516667 3.930000
18.000000 3.920000
18.516667 3.850000
19.516667 3.840000
20.516667 3.820000
21.516667 3.800000
22.516667 3.830000
23.516667 3.780000
